trasa,opoznione,wszystkie,ile_razy_opoznione180
BOS-FCO,652,654,0.9969418960244648318
MIA-FCO,598,600,0.99666666666666666667
JFK-FCO,587,605,0.97024793388429752066
JFK-MXP,711,736,0.96603260869565217391
ORD-LHR,297,531,0.55932203389830508475
CDG-JFK,292,715,0.40839160839160839161
JFK-LHR,415,1044,0.39750957854406130268
GLA-LHR,181,505,0.35841584158415841584
LHR-JFK,509,1442,0.35298196948682385576
LHR-ORD,286,843,0.33926453143534994069
LHR-IAH,175,529,0.33081285444234404537
AMS-LHR,153,501,0.30538922155688622754
LHR-EWR,180,609,0.29556650246305418719
JFK-CDG,157,601,0.26123128119800332779
MAN-LHR,170,666,0.25525525525525525526
EDI-LHR,147,689,0.21335268505079825835
ABZ-LHR,119,594,0.2003367003367003367
MAD-LHR,136,748,0.18181818181818181818
LHR-EDI,103,639,0.16118935837245696401
LHR-MAD,120,757,0.15852047556142668428
LCY-AMS,85,538,0.15799256505576208178
FRA-LHR,74,612,0.12091503267973856209
BRU-LHR,54,506,0.10671936758893280632
LHR-FRA,61,583,0.10463121783876500858
LHR-ABZ,51,523,0.09751434034416826004
LHR-DUB,55,617,0.08914100486223662885
DUB-LHR,50,571,0.08756567425569176883
BGO-OSL,35,529,0.06616257088846880907
CGN-TXL,34,581,0.0585197934595524957
TXL-FRA,61,1182,0.05160744500846023689
TXL-CGN,26,558,0.04659498207885304659
FRA-TXL,46,1027,0.04479065238558909445
BRU-FRA,25,709,0.03526093088857545839
HAJ-FRA,20,589,0.03395585738539898132
TXL-MUC,26,780,0.03333333333333333333
MUC-FRA,31,930,0.03333333333333333333
STR-FRA,18,631,0.02852614896988906498
GVA-FRA,14,575,0.02434782608695652174
HAM-FRA,16,785,0.0203821656050955414
FRA-MUC,19,935,0.02032085561497326203
DUS-MUC,13,642,0.02024922118380062305
MUC-TXL,13,667,0.01949025487256371814
FRA-HAM,12,681,0.01762114537444933921
MUC-DUS,8,606,0.01320132013201320132
FRA-BRU,9,705,0.01276595744680851064
DUS-FRA,11,965,0.01139896373056994819
FRA-NUE,5,645,0.00775193798449612403
NUE-FRA,5,745,0.00671140939597315436
FRA-DUS,5,750,0.00666666666666666667
FRA-HAJ,2,640,0.003125
LUG-ZRH,0,563,0
FRA-STR,0,603,0
